User,Session,Context,Utterance,Gist,Response,ASR_Error,Gist_Correct,Response_Appropriate
p22,1,"If the radiation couldn't stop my cancer, then what does that mean for my future ? how much time do i have left ?",I think unfortunately what that means is that we don't have other treatments to be able to address the cancer,((AM I READY TO START DISCUSSING TREATMENT OPTIONS ?)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,-1,1
p22,1,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,Would it be helpful to bring your family into speak about what this means to you,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p22,1,"I am sorry, i didn't quite understand. can you say it again ?",Would it be helpful to bring your family into meet to talk about what this means for you,((NIL QUESTION ?)),Would you mind rephrasing ?,0,0,0
p22,1,Would you mind rephrasing ?,Is there anybody you would like to speak with in thinking about what this means for you,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p22,1,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Are their family members who are important in helping you make decisions about your life going forward,((NIL QUESTION ?)),"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",0,0,0
p22,2,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Hi sophie yes thank you so much for coming in i understand that you want to go over some of the results together,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p22,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Sure i understand from you that the results that you received for a little bit confusing to go over and so i was hoping that we could talk about that together is that okay,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p22,2,"I am sorry, i didn't quite understand. can you say it again ?",So based on the scan that you received it looks like the treatment was not as successful as we had hoped,((THE TEST RESULTS SHOW THAT THE RADIATION IS NOT WORKING |.|)),"I'm not surprised to hear the radiation did not help, as my pain has gotten worse in these past couple of weeks . but what does this mean for my future ? how long do i have left ?",0,1,1
p22,2,"I'm not surprised to hear the radiation did not help, as my pain has gotten worse in these past couple of weeks . but what does this mean for my future ? how long do i have left ?",I think those are really important questions i can,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,2,0,-1
p22,2,"If the radiation couldn't stop my cancer, then what does that mean for my future ? how much time do i have left ?",I think what that means for your future is that we don't have any other curative options available but what we would like to do is understand what your values are and what's important to you so that we can make your life as comfortable as possible for the time that you have,((AM I READY TO START DISCUSSING TREATMENT OPTIONS ?)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,1,1
p22,2,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,I understand do you think there's anybody in your life that you would like to share this situation with,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,0,-1,-1
p22,2,I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,I understand and i'm sorry that you're experiencing so much anxiety that's very understandable and in addition to just the worries around the symptoms and around the condition i think there's a lot more that we can do to keep you comfortable,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,-1
p22,2,I still don't quite understand the test results. could you please explain in simple terms ?,It looks like based on the test results that the cancer did not respond to the radiation treatment like we had hoped,((DID THE PAIN RESPOND TO RADIATION TREATMENT ?)),"I was feeling a little better after radiation, for a few weeks .",0,-1,-1
p22,2,"I was feeling a little better after radiation, for a few weeks .",I'm glad to hear that you were feeling better,((NIL GIST |:| NOTHING FOUND FOR RADIATION |.|)),What about chemotherapy ?,0,0,-1
p22,2,What about chemotherapy ?,I think based on the response to the radiation the chemotherapy is not likely to work either,((NIL GIST |:| NOTHING FOUND FOR CHEMOTHERAPY |.|)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,0,-1
p22,2,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,That makes sense sophie,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,-1
p22,2,"My previous doctor mentioned something about chemotherapy, but he said to wait to see how things go after the radiation . do you think i need chemotherapy ?",This point i don't think that chemotherapy would be helpful,((YOU DO NOT THINK I NEED CHEMOTHERAPY |.|)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,1,-1
p22,2,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,Sophie could you share what you think might be important to you and your future,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),"I'm just scared about it getting worse , and not being able to be there for my family .",0,-1,-1
p20,1,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Yeah of course so so far what do you understand about what the results showed,((DO I KNOW WHAT THE TESTS SAY ?)),"I don't really understand the test results . i was just told that the tumor is still there and something about possible metastasis, but i wasn't sure how to interpret that . can you explain them ?",2,-1,-1
p20,1,"I don't really understand the test results . i was just told that the tumor is still there and something about possible metastasis, but i wasn't sure how to interpret that . can you explain them ?",Yeah so unfortunately on the ct scan it looks like the tumor didn't really respond too well to the therapies that we've been trying so far,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p20,1,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Did the ct scan to take a look at the size of your tumor and how you responded to the treatments that we've done so far and unfortunately it looks like the tumor did not change size it didn't get smaller so it didn't it doesn't look like the treatments really helped,((YOU DO NOT HAVE A QUESTION FOR ME |.|)),"Okay , i'll continue with my questions then .",0,-1,-1
p20,1,I think that the results are not very good . but i'm having trouble interpreting them myself .,What questions do you have,((DO I HAVE A QUESTION ABOUT MY TEST RESULTS ?)),I still don't quite understand the test results. could you please explain in simple terms ?,0,1,1
p20,2,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",It definitely can be very complicated what do you understand so far,((WHAT DO I UNDERSTAND ?)),"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",0,1,1
p20,2,"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",Yeah i'm so i'm sorry the results of the ct scan are really not great the scan show,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",2,0,0
p20,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",So the scan that we did we were hoping to look whether the tumor responded to the therapies we gave you and unfortunately it did not,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p20,2,I'm still having a bit of trouble understanding. would you mind rephrasing ?,So what do you know so far about the treatments that we've given you,((WHAT ARE MY TREATMENT GOALS ?)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,-1,-1
p20,2,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,Can you tell me what you understand so far,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,0,-1,1
p20,2,I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,What do you feel anxious about,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),"I'm just scared about it getting worse , and not being able to be there for my family .",0,-1,1
p20,2,"I'm just scared about it getting worse , and not being able to be there for my family .",So it sounds like family is really important to you,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,0,0,-1
p20,2,"I'm just scared about it getting worse , and not being able to be there for my family .",Have you talked to your family about your diagnosis,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p20,2,"I am sorry, i didn't quite understand. can you say it again ?",Have you talked to your family about your cancer diagnosis,((NIL QUESTION ?)),Would you mind rephrasing ?,0,0,0
p20,2,Would you mind rephrasing ?,Does your family know about your cancer diagnosis,((DO MY FAMILY KNOW ABOUT MY CANCER ?)),"My family knows about my cancer already, but they don't really know how bad it is, or what it means for me . how should i discuss these with them ?",0,1,1
p20,2,"My family knows about my cancer already, but they don't really know how bad it is, or what it means for me . how should i discuss these with them ?",At least something i can help you with sometimes having someone there to clarify some information can help,((NIL GIST |:| NOTHING FOUND FOR TELL FAMILY |.|)),"Okay . it will be difficult, but my family and i will have to be strong .",0,0,-1
p20,2,I'm still not really sure how i should break this news to my family . i don't want them to be worried .,Would it help to have some more information about what the scan showed,((NIL QUESTION ?)),"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",0,0,0
p20,2,"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",Would you like to talk about the results of the ct scan,((NIL QUESTION ?)),I'm not hearing you very well. would you mind speaking more clearly ?,0,0,0
p20,2,I'm not hearing you very well. would you mind speaking more clearly ?,Would you like to talk about the results of the ct scan,((NIL QUESTION ?)),"Sorry, i still didn't quite understand. i have some more questions, maybe we can come back to it.",0,0,0
p20,2,I still don't quite understand the test results. could you please explain in simple terms ?,Yeah so the test showed that your cancer did not shrink in size,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p20,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",The test results showed that your tumor your cancer did not respond to the treatment,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p20,2,I'm still having a bit of trouble understanding. would you mind rephrasing ?,What do you understand about the test results,((DO I KNOW WHAT THE TESTS SAY ?)),"I don't really understand the test results . i was just told that the tumor is still there and something about possible metastasis, but i wasn't sure how to interpret that . can you explain them ?",0,1,1
p20,2,"I don't really understand the test results . i was just told that the tumor is still there and something about possible metastasis, but i wasn't sure how to interpret that . can you explain them ?",Definitely so what you understand is correct the tumor is still there and it did not get better with the treatment,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",0,0,0
p20,2,"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",So we gave you a couple of different treatments to try to make the cancer smaller but the cancer is still the same size,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm not hearing you very well. would you mind speaking more clearly ?,0,0,0
p20,2,I'm not hearing you very well. would you mind speaking more clearly ?,Did cancer did not respond to the treatment we gave you,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i'm still not hearing you very well. i'm just really anxious. i have some more questions for now, maybe we can come back to it later.",0,0,0
p20,2,What do you think this means for me in the future ?,I'm afraid this means that your cancer is getting worse,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,-1
p20,2,I still don't understand how this happened! just three months ago i didn't even know i had cancer.,Yeah sometimes cancer can progress very quickly and sometimes response to treatment can be very different between different patients,((CANCER CAN AFFECT THE HUMAN BODY SUDDENLY |.|)),"It's as though in a matter of months, my entire life has been turned upside down! so many things that i took for granted about my future are now unknown . it scares me a lot .",0,1,1
p20,2,"It's as though in a matter of months, my entire life has been turned upside down! so many things that i took for granted about my future are now unknown . it scares me a lot .",Yeah i know it's very difficult what are you most scared of,((NIL GIST |:| NOTHING FOUND FOR QUESTION ABOUT MY ENERGY |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p20,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",You said that you're feeling scared what are you the most afraid of,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p20,2,I'm still having a bit of trouble understanding. would you mind rephrasing ?,What are you most worried about,((IS SOMETHING HARMING MY MENTAL HEALTH ?)),"Well . sometimes i start to worry about my future , and i find it difficult to stop .",0,-1,-1
p20,2,"Well . sometimes i start to worry about my future , and i find it difficult to stop .",What would help you plan better for the future,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p4,1,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Of course sophie but before i i dive into d i want to know what you got from the reports what do you understand so far,((WHAT DO I UNDERSTAND ?)),"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",0,1,1
p4,1,"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",Yeah so i think that you're brought can surn that things have gotten worse is understandable is it okay if i go into a little bit more detail,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,0,0,-1
p4,1,I still don't quite understand the test results. could you please explain in simple terms ?,So dct scanner,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",2,0,0
p4,1,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",So the ct scan that picture of your chest we talk,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,2,0,0
p4,1,I'm still having a bit of trouble understanding. would you mind rephrasing ?,Yeah so the pictures of your lungs that we tuck show did the radiation,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p4,1,"I am sorry, i didn't quite understand. can you say it again ?",Of course so,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",2,0,0
p4,1,"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",We did a scan of your chest,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm not hearing you very well. would you mind speaking more clearly ?,2,0,0
p4,1,I'm not hearing you very well. would you mind speaking more clearly ?,Can you get me sophie,((NIL QUESTION ?)),Would you mind rephrasing ?,2,0,0
p4,1,Would you mind rephrasing ?,We did a scan of your chest and things are about the same,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm not hearing you very well. would you mind speaking more clearly ?,0,0,0
p4,1,I'm not hearing you very well. would you mind speaking more clearly ?,The picture we took of your lungs did not get any better,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),Would you mind repeating that ?,0,0,0
p4,2,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Of course i took some time and look at the scans and i'm sorry to say i don't have good news for you,((WHAT SCARES ME ABOUT MY CONDITION ?)),"What scares me most is that my condition is becoming harder and harder to live with , but i have no idea how much worse it's going to get .",0,-1,-1
p4,2,"What scares me most is that my condition is becoming harder and harder to live with , but i have no idea how much worse it's going to get .",What scares you about this condition,((WHAT SCARES ME ABOUT MY PROGNOSIS ?)),What worries me the most is just how uncertain my future is . some days i believe my condition will get better and others i brace myself for the worst . is there any way you can let me know what i should expect ?,0,1,1
p40,1,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Truth be told i've already but don't understand what i'm sophia,((YOU ARE NOT SURE WHAT MY TEST RESULTS MEAN |.|)),"Oh, sorry, i assumed you were sent the test results, from when i had my second ct scan a couple weeks after radiation . i was told that the tumor is still there, but i wasn't sure how to interpret that . they mentioned something about possible metastasis . could you explain what that means in simple terms ?",1,-1,-1
p40,1,"Oh, sorry, i assumed you were sent the test results, from when i had my second ct scan a couple weeks after radiation . i was told that the tumor is still there, but i wasn't sure how to interpret that . they mentioned something about possible metastasis . could you explain what that means in simple terms ?",I have reviewed your taxable,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",1,0,0
p40,1,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Thank you for asking i have reviewed your test results and i know that you're here to talk about what they mean and her that have a lot of questions to tell me a little bit about what you what you know about what's happening for you medically,((WHAT DO I UNDERSTAND ?)),"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",0,1,1
p40,1,"I don't really understand it very well . it feels like my cancer has gotten worse, but i'm not sure how bad it is .",I can imagine that that got it feel scary,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,0,0,0
p40,1,Could you try your best to explain the test results to me ?,Based on the test results that i have reviewed it looks like the looks like the cancer hasn't responded to the treatment that we've tried,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p40,1,I'm still having a bit of trouble understanding. would you mind rephrasing ?,Based on the view based on the test results that we've gotten it looks like the cancer hasn't responded to the treatment and the cause of that that the team and i are have our thinking that we have about three months to a year 2,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",0,0,0
p40,1,"Sorry, i didn't catch that. could you repeat that one more time using a different phrasing ?",Sophie that the test results are showing that the cancer the cancer is not curable and because of that,((THE TEST RESULTS SHOW THAT I CANNOT BE CURED |.|)),What do you think this means for me in the future ?,2,1,1
p40,1,What do you think this means for me in the future ?,Memes in the future sophia's that we have about three months to a year to make to make good plans and tub fence,((THE PROGNOSIS IS THAT I MAY LIVE FOR THREE MONTHS |.|)),"That's difficult to hear . are you certain i don't have any more time than three months ? i had an uncle fred who was told he had two or three months to live , but he held on for a year and a half .",1,1,1
p40,2,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Good to see you sophia and i hear that i hear that sounds like you're worried about the results what concerns you the most,((WHAT SCARES ME ABOUT MY CONDITION ?)),"What scares me most is that my condition is becoming harder and harder to live with , but i have no idea how much worse it's going to get .",0,1,1
p40,2,"What scares me most is that my condition is becoming harder and harder to live with , but i have no idea how much worse it's going to get .",That sounds really scary,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,0,0,-1
p40,2,I still don't quite understand the test results. could you please explain in simple terms ?,Sophia and i i have some pretty bad news to share with you and i wonder if it's okay for us to talk about that,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p40,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",I have some pretty bad news to share with you and i wonder if it's okay for us to talk about it today,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p40,2,I'm still having a bit of trouble understanding. would you mind rephrasing ?,Sophie is it okay with you if we talk about if we talk about those test results and what they mean,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i'm still not hearing you very well. i'm just really anxious. i have some more questions for now, maybe we can come back to it later.",0,0,0
p40,2,What do you think this means for me in the future ?,Associate this the the test results mean that your cancer has spread,((THE TEST RESULTS SHOW THAT MY CANCER HAS SPREAD |.|)),"Those are not the words i wanted to hear . i mean, i was bracing for the worst, since i could tell by the pain that it's bad . but to hear that the cancer has spread is quite depressing . what does it all mean for me ?",0,1,1
p40,2,"Those are not the words i wanted to hear . i mean, i was bracing for the worst, since i could tell by the pain that it's bad . but to hear that the cancer has spread is quite depressing . what does it all mean for me ?",We'll see what what it means is that there's no way that we can treat the cancer and that it will it will get it will get worse until until you die,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,0
p40,2,I want you to be honest with me . how long do you think i have left ?,Hope you're right but the few things can be hard to predict and what we the best guess that we have right now is that we have about three months to a year,((THE PROGNOSIS IS THAT I MAY LIVE FOR THREE MONTHS |.|)),"That's difficult to hear . are you certain i don't have any more time than three months ? i had an uncle fred who was told he had two or three months to live , but he held on for a year and a half .",0,1,1
p40,2,"That's difficult to hear . are you certain i don't have any more time than three months ? i had an uncle fred who was told he had two or three months to live , but he held on for a year and a half .",I can imagine how how hard that unpredictability have to be sophie and the best truly the best gas that we have is three months to a year and it could be shorter and it could be longer like it was for your uncle fred,((NIL GIST |:| NOTHING FOUND FOR DENIAL OF PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,0
p40,2,I quit smoking as soon as i heard my diagnosis . does that help at all ?,That's a good question sophia i can imagine that that had to have been incredibly hard to do,((QUITTING SMOKING MIGHT MAKE MY PROGNOSIS BETTER |.|)),"Either way, i'm glad i quit . after all , i have my grandson to think about . i know the test results say one thing , but do you think i'll live to see his graduation ? he's in middle school right now .",0,-1,1
p40,2,"Either way, i'm glad i quit . after all , i have my grandson to think about . i know the test results say one thing , but do you think i'll live to see his graduation ? he's in middle school right now .",I don't know sophia i certainly i think we can all hope and wish that that will happen and we can do every we'll do everything that we can together to make sure that you are comfortable and can can spend as much time with your grandson as possible,((MY PROGNOSIS IS THAT I MIGHT LIVE TO ATTEND THE GRADUATION OF MY GRANDSON |.|)),"Oh. well, i know how difficult these things are to figure out . i'll keep spending time with my grandson and hope for the best .",0,1,1
p40,2,I still don't understand how this happened! just three months ago i didn't even know i had cancer.,This is happened so fast for you it's got to be so so hard for you and your whole family to have this happen,((CANCER CAN AFFECT THE HUMAN BODY SUDDENLY |.|)),"It's as though in a matter of months, my entire life has been turned upside down! so many things that i took for granted about my future are now unknown . it scares me a lot .",0,1,1
p40,2,"It's as though in a matter of months, my entire life has been turned upside down! so many things that i took for granted about my future are now unknown . it scares me a lot .",I hear you sophie i hear how scary it is i wonder i know you have your grandson to enjoy spending time with you and i know you have a daughter too,((DO I HAVE ANY CHILDREN ?)),"Yes, i'm staying with my daughter and her husband here in rochester, but i have a son out in utica as well.",0,-1,-1
p40,2,I haven't told my family everything yet . i wanted to wait to talk to you first . what should i say to them ?,Oh sophia i think i i think the,((NIL GIST |:| NOTHING FOUND FOR TELL FAMILY |.|)),"Okay . it will be difficult, but my family and i will have to be strong .",2,0,-1
p40,2,I'm still not really sure how i should break this news to my family . i don't want them to be worried .,Have you thought at all about what you might say,((NIL QUESTION ?)),"I am sorry, i didn't quite understand. can you say it again ?",0,0,0
p40,2,"I am sorry, i didn't quite understand. can you say it again ?",Hope you have you thought about what you might tell them,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p40,2,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Sofia i imagine how how difficult it will be to tell your family what's happening,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),I'm still having a bit of trouble understanding. would you mind rephrasing ?,0,0,0
p40,2,I'm still having a bit of trouble understanding. would you mind rephrasing ?,Sofia i can imagine how tough it has to be to think about telling your family about that and i think the,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"Sorry, i'm still not hearing you very well. i'm just really anxious. i have some more questions for now, maybe we can come back to it later.",2,0,0
p28,1,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Truth be told i've already scanned the results but don't understand what they are telling me it all seems very complicated could you explain to me what they mean yes for sure sophie,((YOU ARE NOT SURE WHAT MY TEST RESULTS MEAN |.|)),"Oh, sorry, i assumed you were sent the test results, from when i had my second ct scan a couple weeks after radiation . i was told that the tumor is still there, but i wasn't sure how to interpret that . they mentioned something about possible metastasis . could you explain what that means in simple terms ?",1,-1,-1
p28,1,"Oh, sorry, i assumed you were sent the test results, from when i had my second ct scan a couple weeks after radiation . i was told that the tumor is still there, but i wasn't sure how to interpret that . they mentioned something about possible metastasis . could you explain what that means in simple terms ?",And showed that there was a mass in your lung and that it traveled to the bone as well does that make sense to you sophie,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
